description,job_title,link,location,price,proposal
I am looking for a Technical Sales Guy who specializes in Software Solutions Sales.,Technical Sales Guy Needed,https://www.freelancer.com/projects/sales/technical-sales-guy-needed,"Jaipur, India",$20-1500 USD,Open for bidding
I am looking for a freelancer who can assist me with a Big Data Analytics and Data Visualisation project. The ideal candidate should have experience in regression analysis techniques and be proficient in using Tableau for data visualisation.,Big Data Analytics and Data Visualisation,https://www.freelancer.com/projects/analytics/big-data-analytics-data-visualisation,"Colombo, Sri Lanka",$30-250 USD,20 proposals
Project Title: Create Forex Explainer Webinars,create forex explainer webinars,https://www.freelancer.com/projects/journalist/create-forex-explainer-webinars,"Nicosia, Cyprus",€30-250 EUR,Open for bidding
I'm looking for a web design expert to cooperate with me in the process of creating a blog/magazine with content already provided. The blog is hosted by Wordpress.,web creation for blog/magazine with me,https://www.freelancer.com/projects/website-design/web-creation-for-blog-magazine,"Monza, Italy",$30-250 USD,64 proposals
I am looking for a WordPress developer to modify my theme by customizing the layout and design.,WordPress Theme Modification,https://www.freelancer.com/projects/wordpress/wordpress-theme-modification-37025413,"Kolkata, India",₹1500-12500 INR,17 proposals
"I am in need of a Malayalam Transcriber for a term project. The project requires a verbatim transcription of audio recordings, and the source audio recordings will be provided. The preferred format for the transcript is a Word document.",Need Malayalam Transcriber for Term Project,https://www.freelancer.com/projects/transcription/need-malayalam-transcriber-for-term,"Rajsamand, India",₹1500-12500 INR,17 proposals
Project Title: Forex Webinars - Zoom - Courses,forex webinars - zoom - courses,https://www.freelancer.com/projects/zoom/forex-webinars-zoom-courses,"Nicosia, Cyprus",€30-250 EUR,Open for bidding
"I am in need of a Gujrati transcriber for a long-term project. The project involves transcribing audio/video files that are less than 1 hour in duration. The audio/video files will have more than 2 speakers, and the complexity/difficulty level is moderate.",Need Gujrati Transcriber for Long term Project,https://www.freelancer.com/projects/transcription/need-gujrati-transcriber-for-long,"Rajsamand, India",₹1500-12500 INR,8 proposals
Need to buy source code of job portal in flutter which is like of indeed,Need a ready made job portal in flutter,https://www.freelancer.com/projects/website-design/need-ready-made-job-portal,"Surat, India",₹1500-12500 INR,Open for bidding
hello im searching for someone who can drive real humains traffic to my website [login to view URL],humains traffic to may website target country USA,https://www.freelancer.com/projects/internet-marketing/humains-traffic-may-website-target,"tiznit, Morocco",$10-30 USD,28 proposals
I am looking for a skilled Wordpress and Shopify developer who can assist me with both website development and store setup.,Wordpress & shopify developer.,https://www.freelancer.com/projects/wordpress/wordpress-shopify-developer-37025420,"New York, United States",$8-15 USD / hour,108 proposals
Title: Help with downloading Java project from GitHub and Run locally,Help with downloading Java project from GitHub and Run locally,https://www.freelancer.com/projects/java/help-with-downloading-java-project,"DES PLAINES, India",₹1500-12500 INR,4 proposals
Need google sheet app script expert....,Google app script expert,https://www.freelancer.com/projects/google-app-engine/google-app-script-expert-37025312,"rewa, India",₹600-1500 INR,2 proposals
My requirements for the admin panel in Core PHP. We'll create a simple solution with the following features:,A small task immediate in core PHP,https://www.freelancer.com/projects/php/small-task-immediate-core-php,India,₹600-1500 INR,14 proposals
I am looking for a Shopify developer to make modifications to my website. The specific modifications needed include both design and functionality changes.,Need a Shopify developer to modify on the website,https://www.freelancer.com/projects/shopify-site/need-shopify-developer-modify-the,"KOLKATA, India",₹1500-12500 INR,13 proposals
You can use Google Scholars. P.s. this is a helpful link I found online: [login to view URL],Marketing research about Aflac (supplemental insurance),https://www.freelancer.com/projects/research/marketing-research-about-aflac,"New York, United States",$30-250 USD,31 proposals
I am looking for a data analyst who can help me with a project involving data analysis.,data analysis,https://www.freelancer.com/projects/python/data-analysis-37025273,"manchester, United Kingdom",£3000-5000 GBP,28 proposals
"Hi, I'm looking for someone to build me a volunteer portal web app. It should have user registration and login and a volunteer management system. Volunteers should also be able to track volunteer hours, sign up for volunteering events, message each other, and go through training on this portal. The freelancer applying should include past work that demonstrate their experience and capabilities. Additionally, I do have specific design preferences that need to be followed when building the web app. Project has already been started using Python FastAPI and React.js - but the project itself is beyond our scope. Project details such as schemas and designs as well as current progress on project available in detail.",Volunteer Portal Web App,https://www.freelancer.com/projects/html/volunteer-portal-web-app,"Portland, United States",$15-25 USD / hour,55 proposals
I am looking for a freelancer who can help me gather specific data from investors in the real estate industry.,Need Data from investors Real estate,https://www.freelancer.com/projects/need-data-from-investors-real,"Munich, France",€30-250 EUR,37 proposals
E-commerce Android app fig & error fixing,E-commerce Android app fig & error fixing,https://www.freelancer.com/projects/android/commerce-android-app-fig-error,"Mumbai, India",₹1500-12500 INR,29 proposals
SEO for Substance Abuse Clinic,SEO for Substance Abuse Clinic,https://www.freelancer.com/projects/seo/seo-for-substance-abuse-clinic,"Sterling Heights, United States",$8-15 USD / hour,60 proposals
"My name is [Insert name] and I am looking for a talented freelancer to edit my travel vlog. I will provide all the footage for the vlog and want it edited with special effects such as color correction, sound engineering, and other services as needed. I am looking for a finished product that is more than 6 minutes long. If you are experienced with video editing and can create high-quality content, please respond with examples of your work and your rate. Thank you!",Travel Vlog editing,https://www.freelancer.com/projects/video-editing/travel-vlog-editing,"Mumbai, India",₹1500-12500 INR,4 proposals
I am looking for a skilled designer to create a modern poster for sharing information.,Poster maker - 08/08/2023 11:36 EDT,https://www.freelancer.com/projects/flyer-design/poster-maker-edt,"Khairpur, Pakistan",$250-750 USD,7 proposals
"I am looking for a developer to help build a webshop for my cosmetica products. The webshop should be built on the WooCommerce platform and I already have a domain and hosting setup. I would like to offer the option of bank transfer as a payment method, with no other payment methods necessary. My aim is to have the website built efficiently and securely to ensure successful and smooth transactions for customers. The webshop needs to feature an attractive visual design, intuitive navigation, and comprehensive product information. The website developer should also be able to implement a reliable shipping solution, allowing orders to be placed and processed easily. I'm looking forward to discussing the specifications for this project in further detail and finding the right solution for my business.",Webshop for cosmetica product on Shopify,https://www.freelancer.com/projects/website-design/webshop-for-cosmetica-product,"Emmeloord, Netherlands",€250-750 EUR,100 proposals
"I am looking for a talented WordPress webdeveloper and designer to help me create a website. The main purpose of this website will be blogging. I already have existing website content and I am looking to create a website with 1 to 5 pages. So, ideally, I am looking for someone with expertise in WordPress who will be able to build a functional website that captures my vision. It's important that the website is up to the current standards for webdesign and is responsive across different devices. Along with the task of building the website, I will also need assistance with a comprehensive search engine optimization plan. I am looking for someone who is willing to work closely with me so that I can be sure that my website meets my expectations.",wordpress webdevelopement and design,https://www.freelancer.com/projects/website-design/wordpress-webdevelopement-design,India,₹12500-37500 INR,23 proposals
Xpress Freightways Logistics LLC,Logo for a freight broker company,https://www.freelancer.com/projects/logo-design/logo-for-freight-broker-company,"Lithia, United States",$30-250 USD,110 proposals
I want to learn how to use AWS Amplify. Can someone teach me.,Teach me how to use AWS Amplify,https://www.freelancer.com/projects/amazon-web-services/teach-how-use-aws-amplify,"Toronto, Canada",$15-25 CAD / hour,8 proposals
"Expert in scraping for develop proxy isp and ip checker. i have username pass and ip and port i neeed to obtain ip and isp of all that list, we will develop online app, deploying on vps of digital ocean, check the image attached",Expert in scraping for develop proxy isp and ip checker online appp,https://www.freelancer.com/projects/web-scraping/expert-scraping-for-develop-proxy-37025307,"Arequipa, Peru",$30-250 USD,20 proposals
"Hello! I'm looking for a freelancer to help customize a WPForms plugin that I have already installed. I need to either add extra functionality to the WPForms form entry pages, or I need to have the form entries exported to another area of the site (CRM plugin, project management plugin, or custom coding) where form entry data is turned into a new ""project"" that can be modified and additional data added.",WPForms Plugin Customization,https://www.freelancer.com/projects/php/wpforms-plugin-customization,"Conway, United States",$250-750 USD,86 proposals
"Hello there,",Background Remove need,https://www.freelancer.com/projects/photoshop/background-remove-need-37025314,"Austin, United States",$2-8 USD / hour,84 proposals
I am looking for a skilled blog writer who can create engaging and informative content targeted towards both Power Query and Power BI users. The ideal candidate should have a strong understanding of these tools and be able to write in a way that appeals to both beginners and advanced users.,Blog writer about Power Query and Power BI,https://www.freelancer.com/projects/articles/blog-writer-about-power-query,"Toronto, Canada",$10-30 CAD,44 proposals
I'm looking for a building contractor to help with a small construction project. It involves both residential and commercial properties and may also require additional services such as interior design and landscaping. The ideal contractor should have extensive experience with such projects and be able to guide us throughout the entire process. They should be knowledgeable and able to provide valuable insight to ensure we get the most out of the project.,Building Contractor,https://www.freelancer.com/projects/autocad/building-contractor,"Brooklyn, United States",$50000 USD,1 proposal
I am in need of a copywriter/editor who specializes in the lifestyle/interior design industry to polish blog outlines. The ideal candidate will have experience in this niche and possess excellent writing and editing skills.,Copywriter/editor to polish blog outlines in the lifestyle/interior design industry,https://www.freelancer.com/projects/editing/copywriter-editor-polish-blog-outlines,"Santa Clara, United States",$15-25 USD / hour,20 proposals
"We are looking for a marketing automation expert in Active Campaign to set up automation, tags, and flows.",Marketing Automation Expert in Active Campaign,https://www.freelancer.com/projects/marketing/marketing-automation-expert-active,"Hillsborough, United States",$8-10 USD / hour,7 proposals
Design a pricing page,Design a pricing page,https://www.freelancer.com/projects/graphic-design/design-pricing-page,"CHENNAI, India",₹600-1500 INR,5 proposals
"I am looking for a person (preferably student) who can provide book editing services for a books (maths/science/computers) intended for students in class 1 to 8. Raw draft will be provided. Work involve reading, correcting content wherever required, formatting content etc. Person should be from science/engineering background only.",Looking for person for book editing (class 1 to 8),https://www.freelancer.com/projects/editing/looking-for-person-for-book,"Mumbai, India",₹600-1500 INR,11 proposals
I am looking for a game developer to create a mobile card game similar to Courtpiece. Courtpiece is available on app store for reference.,Game development,https://www.freelancer.com/projects/iphone-app-development/game-development-37025333,"Leichhardt, Australia",$250-750 AUD,20 proposals
Defrilex Language Services is hiring!,Remote International Interpreters,https://www.freelancer.com/projects/interpreter/remote-international-interpreters,"Santo Domingo Este, Dominican Republic",$8-12 USD / hour,1 proposal
I am looking for a skilled website designer who specializes in Shopify to help me with my project. The ideal candidate should have experience in creating visually appealing and user-friendly websites on the Shopify platform.,FIRST PROJECT,https://www.freelancer.com/projects/shopify-site/first-project,"DAVANAGERE, India",₹100-400 INR / hour,12 proposals
Seeking a highly skilled SEM Specialist. Who can develop and execute strategic SEM campaigns across various websites.,SEM expert for different websites,https://www.freelancer.com/projects/internet-marketing/sem-expert-for-different-websites,"Kerava, Estonia",€30-250 EUR,33 proposals
"I am in need of a landing page for an upcoming event. Its purpose is to provide information about the event, without the need of generating leads or selling tickets. The design concepts are being developed, but I do require some help to get it up and running. I need a simple form that captures the necessary information for the registration process. Experienced designers with event website setup experience preferred.",Landing page for registration to an event,https://www.freelancer.com/projects/graphic-design/landing-page-for-registration-event,"Cedar Rapids, United States",$250-750 USD,108 proposals
UI/UX Design for Modern Website Targeting General Consumers,UI/UX Design for an upcoming website/product,https://www.freelancer.com/projects/user-interface-ia/design-for-upcoming-website-product,"Mandya, India",₹1500-12500 INR,15 proposals
Project Description:,To do list-React application,https://www.freelancer.com/projects/javascript/list-react-application,"Kabol, Afghanistan",$30-250 USD,50 proposals
"I am looking for a skilled developer to add a raffles and waffles/lottery element to my website. The project requires custom functionality, as I will provide specific requirements for the feature.",I need a razzes and waffles / lottery element adding to my website.,https://www.freelancer.com/projects/php/need-razzes-waffles-lottery-element,"Surrey, Canada",$250-750 CAD,61 proposals
I am looking for a skilled mobile app developer who can create an app for both iOS and Android platforms. This is a US Based Rideshare app for Drivers and Riders. You'll come in to help us finalize the app for launch. This is a client project which will be ongoing.,Mobile App Developer IOS/Android,https://www.freelancer.com/projects/iphone-app-development/mobile-app-developer-ios-android,"Houston, United States",$2-8 USD / hour,34 proposals
"Voice-over male with a deep, crisp voice needed for a coding tutorial project",Voice-over artist,https://www.freelancer.com/projects/voice-talent/voice-over-artist-37025355,"Coimbatore, India",₹1500-12500 INR,2 proposals
"I have developed this website, I am a software engineer not a designer, so I want a profesional designer to review my website and give me detailed instruccions on how to make it look more profesional.",website redesign,https://www.freelancer.com/projects/website-design/website-redesign-37025349,"Minas, Uruguay",$30-250 USD,79 proposals
"I am looking for a researcher for a systematic literature review to explore the challenges faced by South Asian women in Britain. The desired writing style for the literature review is formal academic. The type of sources desired are academic journals. The main research question of this literature review is to analyze the challenges faced by South Asian women in Britain. The researcher should have expertise and knowledge in this specific subject matter and understand the importance of accurate collection and synthesis of evidence for a valid study. The researcher will need to access and review published research and other resources to provide an up-to-date analysis on the particular challenges and experiences of South Asian women in Britain. The research should be comprehensive and documented in a formal academic style. The researcher should also be capable of demonstrating a good understanding of how this particular population group interacts and functions within Britain's social and political systems. This assignment requires a professional approach with detailed oral and written communication, an appreciation of ethics and ability to work to timelines.",systematic literature review south asian women in britain,https://www.freelancer.com/projects/research-writing/systematic-literature-review-south-asian,"Plumstead, United Kingdom",£250-750 GBP,6 proposals
Are you a creative and detail-oriented individual with a passion for crafting impactful surveys? We're looking for a motivated Survey Creation Specialist to join our team and help us gather valuable insights from our audience!,Make an easy survey (new freelancers are welcome),https://www.freelancer.com/projects/data-entry/make-easy-survey-new-freelancers,"Nabeul, Tunisia",$750-1500 USD,1 proposal
"I am looking for an event photographer to capture an event in Macau.. If you have the skill and experience, please do not hesitate to submit your bids.",macau photography,https://www.freelancer.com/projects/photography/macau-photography-37025353,"Central, Hong Kong",$2000-6000 HKD,Open for bidding
I am looking for a skilled developer to create an audio streaming mobile app for both iOS and Android platforms. The purpose of the app is to stream music. I do not have an existing website to integrate with the app.,Audio Streaming Mobile App -- 2,https://www.freelancer.com/projects/mobile-app-development/audio-streaming-mobile-app,"Kochi, India",₹12500-37500 INR,Open for bidding
I am in search of a skilled freelance professional who can offer comprehensive consultancy and support in the process of adding and enhancing product listings on my Amazon store. I am seeking an individual with the capability to provide detailed guidance and insights specifically focused on optimizing product listings.,Amazon Store - Assistance for Adding Products and General Tips to Build and Achieve Success,https://www.freelancer.com/projects/product-descriptions/amazon-store-assistance-for-adding,"Drummondville, Canada",$250-750 CAD,27 proposals
**YOU CAN APPLY HERE: [login to view URL]**,Seo Content Writer,https://www.freelancer.com/projects/articles/seo-content-writer-37025336,"Dubai, United Arab Emirates",$250-750 USD,35 proposals
"Looking for a long term relationship with a video editor to create shorts content (30-45 sec each video), one video a day. I am looking for 30 videos (one months worth of videos).",Need a long term shorts video editor for my social media (capcut),https://www.freelancer.com/projects/video-editing/need-long-term-shorts-video,"Long Island city, United States",$30-250 USD,45 proposals
Food Photography Project,Food photography,https://www.freelancer.com/projects/graphic-design/food-photography-37025108,"hyderabad, India",₹1500-12500 INR,8 proposals
I am looking for a male voiceover artist who can provide a voiceover in English for a video. I already have an existing script that needs to be recorded. We will be creating the video along with video content and still images. We will also be adding the music track ourselves. So the quality of the audio is very important.,Voiceover for a video,https://www.freelancer.com/projects/audio-production/voiceover-for-video,"Panama City, United States",$200-300 USD,11 proposals
I am looking for a social media content creator who specializes in Instagram. I need someone who can help me come up with captions and content ideas on a weekly basis. The ideal candidate should have experience in creating engaging and visually appealing posts for Instagram.,Social media content creator,https://www.freelancer.com/projects/social-media-marketing/social-media-content-creator-37025125,"hyderabad, India",₹600-1500 INR,25 proposals
,,https://www.freelancer.com/contest/contest-for-new-banner-design-for-website-2292889,,,
[login to view URL],Landing page for a product -- 2,https://www.freelancer.com/projects/css/landing-page-for-product,"Zelafon, Israel",$250-750 USD,104 proposals
I am looking for a talented 3D designer who can create a modern 3D structural design for my 4 bedroom Bungalow with 3 balconies. The design should have an elegant rear beachside view.,I need a 3d structural design of a 4 bedroom Bungalow with 3 balconies with an elegant rear beachside view,https://www.freelancer.com/projects/3d-modelling/need-structural-design-bedroom-bungalow,United States,$15-25 USD / hour,40 proposals
Project Description:,Configure and Setup LiteSpeed Cache Opencart 3.0.3.8 And Latest Journal Theme,https://www.freelancer.com/projects/php/configure-setup-litespeed-cache-opencart,"Nongprue banglamung, Thailand",$30-250 USD,52 proposals
,,https://www.freelancer.com/contest/business-card-2292888,,,
"I'm looking for an experienced YouTube Video Editor to help me create high-quality, engaging videos for my channel. The videos I need edited are from 8 to more than 10 minutes long and will require audio editing as well as highly edited visual effects. I have quite the broad niche from Vlogs to woodwork, animals, diy and learning new skills. The editing of the videos could include adding colour corrections, music effects, and other creative additions. If you have the experience and skills needed to work on this project, please get in touch!",YouTube Video Editor,https://www.freelancer.com/projects/video-editing/youtube-video-editor-37025171,"High Wycombe, United Kingdom",£18-36 GBP / hour,35 proposals
"I am looking to engage the services of a Freelancer to help me with product marketing for a physical product I’m producing. My main goal is to drive sales. I already have an existing audience, but I need someone to help me develop my product’s marketing plan and implement the tactics necessary to achieve my intended goals. This includes researching competitors, creating content, and managing social media accounts to promote the product and drive sales. I need a professional who understands how to engage my target audience to ensure success. If you think you’re the perfect candidate to help me achieve my goals, please get in touch with me.",product marketing,https://www.freelancer.com/projects/marketing/product-marketing-37025194,United Kingdom,£20-250 GBP,20 proposals
Project Title: Solarwinds NPM Orian Map,Solarwinds NPM,https://www.freelancer.com/projects/network-engineer/solarwinds-npm,"Brampton, Canada",$30-250 CAD,Open for bidding
edit video for youtube. 2 to 4 videos every week. each video is between 5 to 10 minutes,edit video,https://www.freelancer.com/projects/video-editing/edit-video-37025214,"Toronto, Canada",$30-250 CAD,37 proposals
I am looking for a part-time virtual assistant with strong graphic design skills. The ideal candidate will be able to assist with various graphic design tasks.,Part Time Virtual Assistant with Graphics Skills -- 2,https://www.freelancer.com/projects/graphic-design/part-time-virtual-assistant-with-37025211,"Stoney Creek, Canada",$8-15 CAD / hour,36 proposals
"I am looking for someone to create an online magazine with a configurator feature for interior and exterior blinds. I have a clear vision of the design and layout of the magazine, and it is important that the online magazine has a configurator built-in so my customers can select the right blinds for their home. I need someone with experience in building online magazines and configurator systems to help me bring my vision to life.",online magazin with configurator,https://www.freelancer.com/projects/website-design/online-magazin-with-configurator,"Sector 2, Romania",$250-750 USD,77 proposals
Project Description: Magneto One Page Checkout Cart Empty Issue,Magneto one page checkout cart empty issue,https://www.freelancer.com/projects/magento/magneto-one-page-checkout-cart,India,£10-20 GBP,4 proposals
